Dataset;Layer config;lr;Accuracy;Precision;Recall;F1;Loss
FASHION MNIST;[784, 100, 10];0.001;0.854;0.866;0.854;0.852;0.558
FASHION MNIST;[784, 100, 10];0.0001;0.819;0.837;0.819;0.815;0.628
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.798;0.737;0.798;0.763;0.601
FASHION MNIST;[784, 10, 10, 10];0.01;0.754;0.711;0.754;0.723;0.692
FASHION MNIST;[784, 20, 10, 10, 10];0.0001;0.7;0.607;0.7;0.642;0.973
FASHION MNIST;[784, 10, 10, 10];0.001;0.673;0.613;0.673;0.628;0.865
FASHION MNIST;[784, 10, 10, 10];0.0001;0.624;0.524;0.624;0.562;1.006
FASHION MNIST;[784, 20, 10, 10, 10];0.01;0.619;0.531;0.619;0.546;1.03
FASHION MNIST;[784, 100, 10];0.01;0.386;0.3;0.386;0.311;1.661
FASHION MNIST;[784, 10, 10, 10];0.1;0.148;0.109;0.148;0.083;2.196
FASHION MNIST;[784, 20, 10, 10, 10];0.1;0.1;0.01;0.1;0.018;2.303
FASHION MNIST;[784, 100, 10];0.1;0.1;0.01;0.1;0.018;2.303
